,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,1,-23.25,-23.06353761250129,2.440073921568065e-06,1.830101928809988e-06,1457076.727212914,1.7776874618979883,-5.6125970165945445,0.32572913548943266
2,4,-22.75,-22.67298574220144,8.660070141754797e-06,3.447739875605376e-06,1457076.727212914,1.5772983324477945,-5.06247859042449,0.1729009555931625
3,12,-22.25,-22.189140706119378,2.6696985358408782e-05,6.05347702826926e-06,1457076.727212914,1.6208148355200562,-4.573537776692558,0.09847522611302545
4,77,-21.75,-21.712372094594723,0.00016912150564257243,1.5236078627834683e-05,1457076.7272129143,1.600149415214284,-3.7718011636142847,0.03912539004883958
5,222,-21.25,-21.228918120296864,0.0004943386685406406,2.604870148395713e-05,1457076.7272129133,1.6222733542612293,-3.305975416492515,0.022884730722410762
6,488,-20.75,-20.728824376009644,0.0011258433161932602,3.931087982630803e-05,1457076.7272129138,1.6807787853620997,-2.9485220461165564,0.015164186651703498
7,758,-20.25,-20.233821586130468,0.0018940925641381667,5.0988752503069765e-05,1457076.7272129133,1.8204737430031372,-2.7225988008807263,0.01169115716437525
8,932,-19.75,-19.744472722549865,0.0030824456228608407,6.504613542955485e-05,1457076.7272129136,2.40952777895378,-2.511104576013586,0.009164533991022687
9,843,-19.25,-19.26521579070819,0.003681883910343659,7.789444259375506e-05,1270293.6771925865,2.7049480015245493,-2.4339299089042394,0.009187993813264989
10,575,-18.75,-18.76795861199396,0.004481884820621772,0.00011375233222163026,749165.1459910083,2.8062531150067764,-2.3485393085352593,0.01102259700208582
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
