,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,1,-23.25,-23.03486369374185,3.229457614967021e-06,2.497329879337604e-06,1035637.477030652,1.6722736682709363,-5.490870410983576,0.33583861917305596
2,1,-22.75,-22.595509279420824,3.1080428653395117e-06,2.449935319433798e-06,1035637.477030652,1.6094028357816652,-5.50751300015039,0.3423354941836531
3,9,-22.25,-22.15334806049003,2.7613676144473708e-05,7.302528025317195e-06,1035637.4770306521,1.5887643274335694,-4.558875772897724,0.1148506127451562
4,62,-21.75,-21.700912548432317,0.0001906604489707697,1.918851758614741e-05,1035637.4770306518,1.592379889851769,-3.7197393886279397,0.04370842169182626
5,166,-21.25,-21.22886619512877,0.0005348306782496572,3.213803165462185e-05,1035637.4770306518,1.668345464641769,-3.271783689270162,0.02609680105208746
6,288,-20.75,-20.728666684695995,0.000993091423742672,4.379310460226903e-05,1035637.4770306519,1.7855602370584007,-3.0030107686251695,0.019151412669036937
7,408,-20.25,-20.248876721901116,0.0016563766323835888,5.726694474911282e-05,1015859.7640595887,2.055911325643322,-2.780840905010065,0.015015134609939642
8,155,-19.75,-19.802422101025158,0.0013438958467182727,8.084482800690624e-05,581655.7440337538,2.1698637010087585,-2.8716343882377666,0.026125880796160555
9,8,-19.25,-19.435112036394894,0.00023987376404743205,6.041446482472159e-05,165673.5203309754,2.2048368079319807,-3.620017249958454,0.10938115222691265
10,0,-18.75,,0.0,0.0,,,-inf,
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
