,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,1,-23.25,-23.14016305832645,6.0867728347228224e-05,2.1961150177268504e-05,252410.21442417588,7.6818181818181825,-4.215612906307994,0.15669397556333564
2,0,-22.75,,0.0,0.0,,,-inf,
3,0,-22.25,,0.0,0.0,,,-inf,
4,3,-21.75,-21.711177434260048,3.883092944481603e-05,1.7193665874227884e-05,262706.49844518886,1.7001895843033001,-4.410822214194515,0.1922981066800678
5,15,-21.25,-21.182737113121966,0.00020968926020391662,3.995468247718324e-05,262706.49844518874,1.8362243769911004,-3.6784238125180577,0.08275148717279475
6,33,-20.75,-20.69656683247575,0.00041192194595063097,5.5999874682698657e-05,262706.49844518886,1.6396147280821,-3.385185069535782,0.05904137131087561
7,53,-20.25,-20.208439131972142,0.0006449765348502345,7.007313490782739e-05,262706.49844518886,1.5984861042435514,-3.1904560853188957,0.047183694562156514
8,59,-19.75,-19.76255580599335,0.0007197014368514082,7.402114091890419e-05,262706.49844518886,1.60229020678987,-3.1428476302623265,0.04466709582504314
9,75,-19.25,-19.260135482236333,0.0009370925766932085,8.446384325119178e-05,262706.4984451889,1.6412020636136828,-3.0282175024302935,0.03914467146221248
10,80,-18.75,-18.75087676246174,0.0010389395520121988,8.893541376071355e-05,262706.4984451888,1.7058510737833619,-2.983409719999356,0.03717652231764001
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
