r(B_06,5)	round(B_06_ERR,5)	round(V_06,5)	round(V_06_ERR,5)	round(R_06,5)	round(R_06_ERR,5)	round(F814W_06,5)	round(F814W_06_ERR,5)	round(Z_06,5)	round(Z_06_ERR,5)	round(Z_BEST,8)	CLASSIF	Z_USE
21.92590	0.01640	21.55300	0.01170	21.45690	0.01120	21.19950	0.03930	21.08110	0.01020	0.00000000	1	3.00000000
23.18790	0.02970	22.00840	0.01450	21.47860	0.01130	20.20300	0.02170	19.82430	0.00540	0.00000000	1	3.00000000
25.93990	0.12080	24.63830	0.05490	23.85640	0.03560	21.81690	0.05910	21.15990	0.01060	0.00000000	1	3.00000000
23.06450	0.02800	21.87450	0.01360	21.35100	0.01070	20.20880	0.02200	19.83590	0.00540	0.00000000	1	3.00000000
23.13030	0.02900	21.98290	0.01430	21.45230	0.01120	20.46430	0.02510	20.11060	0.00620	0.00000000	1	3.00000000
20.94270	0.01040	20.55900	0.00740	20.52860	0.00740	20.27040	0.02260	20.16270	0.00640	0.00000000	1	3.00000000
23.71620	0.03870	22.40090	0.01760	21.70200	0.01260	20.07620	0.02040	19.58320	0.00480	0.00000000	1	3.00000000
22.02860	0.01720	21.01830	0.00910	20.51930	0.00740	19.33590	0.01380	19.04070	0.00380	0.00000000	1	3.00000000
23.51110	0.03720	22.56490	0.01970	22.32560	0.01740	21.74560	0.05690	21.55030	0.01430	0.00000000	1	3.00000000
21.90120	0.01630	21.72950	0.01270	21.72060	0.01280	21.64820	0.05380	21.53930	0.01380	0.00000000	1	3.00000000
21.37150	0.01270	20.90770	0.00880	20.56110	0.00770	20.12410	0.02090	19.95130	0.00580	0.00000000	1	3.00000000
23.05170	0.02790	22.50830	0.01850	22.24440	0.01630	21.97160	0.07410	21.75550	0.01500	0.00000000	1	3.00000000
24.52780	0.05790	23.51220	0.03080	22.89190	0.02240	21.88290	0.06290	21.41380	0.01260	0.00000000	1	3.00000000
24.85110	0.07140	23.70800	0.03450	23.13250	0.02520	21.71770	0.05480	21.32430	0.01230	0.00000000	1	3.00000000
22.20050	0.01870	21.40100	0.01090	21.04930	0.00940	20.47670	0.02540	20.25490	0.00680	0.00000000	1	3.00000000
25.19300	0.08180	24.33230	0.04740	23.79710	0.03490	21.94470	0.06590	21.37000	0.01190	0.00000000	1	3.00000000
23.28790	0.03130	22.26240	0.01640	21.76030	0.01300	21.01020	0.03500	20.72590	0.00850	0.00000000	1	3.00000000
21.65710	0.01450	21.41720	0.01100	21.33980	0.01070	21.14350	0.03790	21.08750	0.01050	0.00000000	1	3.00000000
24.50290	0.05710	23.39580	0.02870	22.82430	0.02170	21.23900	0.04260	20.84720	0.00920	0.00000000	1	3.00000000
21.28430	0.01220	20.91050	0.00870	20.83250	0.00840	20.57690	0.02610	20.47240	0.00750	0.00000000	1	3.00000000
23.94730	0.04330	22.68390	0.02010	21.97470	0.01440	20.05580	0.02000	19.53750	0.00480	0.00000000	1	3.00000000
24.19270	0.04880	23.22020	0.02610	22.77850	0.02100	22.09950	0.07310	21.85300	0.01570	0.00000000	2	3.00000000
22.05790	0.01750	20.98660	0.00900	20.49320	0.00730	19.40230	0.01390	19.08960	0.00390	0.00000000	1	3.00000000
24.91670	0.07180	23.89650	0.03750	23.37710	0.02860	21.84210	0.06130	21.35820	0.01210	0.00000000	1	3.00000000
24.91690	0.07230	23.53150	0.03110	22.91960	0.02260	20.76970	0.02970	20.14390	0.00640	0.00000000	1	3.00000000
22.98900	0.02720	22.57180	0.01920	22.39840	0.01760	22.26950	0.08290	22.01440	0.01840	0.00000000	1	1.00000000
23.56540	0.03570	22.44970	0.01800	21.97800	0.01440	21.16440	0.03860	20.85980	0.00910	0.00000000	1	3.00000000
22.60610	0.02270	21.69480	0.01260	21.24930	0.01030	20.58080	0.02690	20.31700	0.00700	0.00000000	1	3.00000000
22.32100	0.01980	21.27040	0.01030	20.77690	0.00820	19.69590	0.01650	19.34550	0.00440	0.00000000	1	3.00000000
24.39530	0.05430	23.43450	0.02940	22.97120	0.02330	22.36140	0.08750	21.93860	0.01730	0.00000000	1	3.00000000
21.37780	0.01270	21.09900	0.00950	21.06920	0.00940	20.88370	0.03210	20.79650	0.00880	0.00000000	1	3.00000000
24.91670	0.07000	23.91300	0.03780	23.19290	0.02600	21.44630	0.04090	20.89240	0.00950	0.00000000	1	3.00000000
22.66300	0.02320	22.12590	0.01530	21.92930	0.01400	21.60450	0.04680	21.48550	0.01310	0.00000000	1	3.00000000
23.31890	0.03180	22.12480	0.01530	21.58300	0.01190	20.02490	0.01980	19.59300	0.00490	0.00000000	1	3.00000000
24.39390	0.05330	23.06640	0.02410	22.43310	0.01780	20.81710	0.03150	20.34100	0.00700	0.00000000	1	3.00000000
23.25380	0.03070	22.31580	0.01680	21.87630	0.01370	21.22350	0.04090	20.95850	0.00970	0.00000000	1	3.00000000
24.54640	0.05820	23.40530	0.02870	22.79660	0.02140	21.35370	0.04400	20.90700	0.00950	0.00000000	1	3.00000000
22.88320	0.02590	21.83780	0.01340	21.34190	0.01120	19.90290	0.01850	19.52030	0.00470	0.00000000	1	3.00000000
21.98590	0.01690	20.96760	0.00890	20.46260	0.00710	19.47020	0.01430	19.18100	0.00400	0.00000000	1	3.00000000
23.06660	0.02840	21.93830	0.01420	21.37120	0.01100	20.08960	0.02000	19.69660	0.00510	0.00000000	1	3.00000000
23.65460	0.03750	22.40060	0.01750	21.79390	0.01320	20.50890	0.02430	20.09490	0.00620	0.00000000	1	3.00000000
21.94520	0.01660	21.70090	0.01260	21.63690	0.01230	21.47610	0.04740	21.39680	0.01250	0.00000000	1	3.00000000
23.98280	0.04460	22.93090	0.02290	22.44210	0.01800	21.80310	0.05830	21.51640	0.01340	0.00000000	1	3.00000000
22.74980	0.02420	22.07070	0.01490	21.73100	0.01280	21.44110	0.04560	21.16660	0.01070	0.00000000	1	3.00000000
25.69640	0.12040	24.51430	0.05520	23.70700	0.03440	21.66130	0.05380	21.09500	0.01060	0.00000000	1	3.00000000
20.44570	0.00830	20.22740	0.00630	20.20140	0.00640	20.03860	0.02000	19.97790	0.00590	0.00000000	1	3.00000000
22.75350	0.02450	22.47970	0.01830	22.30570	0.01690	22.13100	0.07440	22.05160	0.01860	0.00000000	1	3.00000000
25.48840	0.09740	24.41200	0.04930	23.82350	0.03590	21.94580	0.06580	21.42370	0.01240	0.00000000	1	3.00000000
24.48490	0.05790	23.27810	0.02720	22.75420	0.02100	21.98140	0.06710	21.69120	0.01500	0.00000000	1	3.00000000
23.45900	0.03520	22.43050	0.01830	21.80150	0.01360	20.10660	0.02080	19.69560	0.00540	0.00000000	1	3.00000000
24.15420	0.04770	23.04360	0.02390	22.42830	0.01780	20.93160	0.03340	20.48720	0.00750	0.00000000	1	3.00000000
21.25580	0.01210	20.90460	0.00860	20.85270	0.00860	20.61940	0.02750	20.49940	0.00770	0.00000000	1	3.00000000
23.08510	0.02840	21.94560	0.01410	21.38510	0.01090	20.24200	0.02290	19.86170	0.00550	0.00000000	1	3.00000000
23.02920	0.02780	22.33710	0.01700	21.98570	0.01450	21.57260	0.04920	21.34800	0.01220	0.00000000	1	3.00000000
24.07220	0.04660	22.97070	0.02330	22.28360	0.01680	21.13210	0.03800	20.49780	0.00770	0.00000000	1	3.00000000
22.13080	0.01810	21.17100	0.00980	20.69730	0.00800	19.94620	0.01900	19.66690	0.00510	0.00000000	1	3.00000000
20.69010	0.00930	20.05240	0.00580	19.74590	0.00510	19.31890	0.01370	19.15420	0.00390	0.00000000	1	3.00000000
24.83940	0.06720	23.76500	0.03480	23.09020	0.02450	21.23020	0.04030	20.68000	0.00830	0.00000000	1	3.00000000
22.61290	0.02270	21.63810	0.01220	21.19990	0.01010	20.52500	0.02590	20.26190	0.00690	0.00000000	1	3.00000000
22.50840	0.02160	21.64910	0.01230	21.21820	0.01010	20.71950	0.02860	20.39900	0.00740	0.00000000	1	3.00000000
22.90590	0.02620	21.81890	0.01330	21.25760	0.01030	20.24100	0.02160	19.91480	0.00580	0.00000000	1	3.00000000
23.55310	0.03630	22.25270	0.01640	21.62530	0.01220	20.71080	0.02930	20.26250	0.00690	0.00000000	1	3.00000000
25.26470	0.08680	24.14880	0.04340	23.45420	0.02970	21.17910	0.03860	20.52500	0.00780	0.00000000	1	3.00000000
23.87840	0.04200	22.73910	0.02070	22.08400	0.01510	20.33900	0.02350	19.81810	0.00550	0.00000000	1	3.00000000
23.45000	0.03420	22.30030	0.01670	21.68550	0.01250	20.15580	0.02120	19.67660	0.00510	0.00000000	1	3.00000000
24.09650	0.04790	23.01050	0.02390	22.46040	0.01810	21.48030	0.04670	21.09100	0.01080	0.00000000	1	3.00000000
24.32060	0.05280	23.08050	0.02470	22.37390	0.01750	20.12480	0.02070	19.54200	0.00480	0.00000000	1	3.00000000
24.14930	0.04920	22.83110	0.02220	22.11380	0.01540	20.70320	0.02880	20.25910	0.00680	0.00000000	1	3.00000000
23.83900	0.04150	22.54950	0.01890	21.87430	0.01370	20.12360	0.02080	19.60950	0.00490	0.00000000	1	3.00000000
23.96980	0.04470	22.52490	0.01870	21.94380	0.01420	20.89760	0.03230	20.61070	0.00810	0.00000000	1	3.00000000
23.99910	0.04490	22.82880	0.02170	22.21610	0.01610	20.50240	0.02570	19.97710	0.00590	0.00000000	1	3.00000000
23.30600	0.03170	22.37240	0.01730	21.97300	0.01460	21.20930	0.03930	21.01490	0.01110	0.00000000	1	3.00000000
23.36080	0.03290	22.23090	0.01690	21.58360	0.01220	20.35010	0.02360	20.00470	0.00610	0.00000000	1	3.00000000
25.61550	0.10930	24.33430	0.04890	23.48180	0.03010	21.05710	0.03610	20.32090	0.00700	0.00000000	1	3.00000000
23.66540	0.03790	22.60380	0.01940	21.93420	0.01410	19.76220	0.01710	19.17740	0.00400	0.00000000	1	3.00000000
24.19760	0.04970	23.02680	0.02400	22.49160	0.01840	21.31150	0.03990	20.92560	0.00960	0.00000000	1	3.00000000
23.86870	0.04220	22.85010	0.02190	22.29790	0.01680	21.07270	0.03470	20.66570	0.00830	0.00000000	1	3.00000000
24.54380	0.05960	23.34260	0.02820	22.78790	0.02130	21.40900	0.04460	20.98770	0.01000	0.00000000	1	3.00000000
21.42760	0.01300	21.25400	0.01020	21.26900	0.01030	21.15580	0.03790	21.10050	0.01040	0.00000000	1	3.00000000
22.51600	0.02170	21.54620	0.01170	20.98680	0.00910	19.52730	0.01510	19.11390	0.00390	0.00000000	1	3.00000000
21.69850	0.01480	20.92890	0.00870	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	0.00000000	1	3.00000000
24.05080	0.04550	23.05890	0.02420	22.45850	0.01830	20.72630	0.02940	20.27450	0.00690	0.00000000	1	3.00000000
24.16250	0.04970	23.11320	0.02540	22.56520	0.02010	21.23730	0.04000	20.90200	0.01020	0.00000000	1	3.00000000
23.96570	0.04410	22.79010	0.02140	22.17270	0.01620	20.61140	0.02600	20.19450	0.00660	0.00000000	1	3.00000000
23.75360	0.03920	22.58600	0.01920	21.99660	0.01450	20.47090	0.02650	20.04790	0.00610	0.00000000	1	3.00000000
23.12140	0.02890	21.92380	0.01390	21.32270	0.01060	19.81860	0.01740	19.40490	0.00450	0.00000000	1	3.00000000
24.25250	0.05030	23.26700	0.02710	22.77020	0.02100	21.69380	0.05420	21.34530	0.01230	0.00000000	1	3.00000000
24.89430	0.06980	23.76550	0.03460	23.27260	0.02700	21.72000	0.05230	21.30210	0.01190	0.00000000	1	3.00000000
22.92570	0.02640	21.74880	0.01290	21.15400	0.01000	19.50940	0.01530	19.09040	0.00390	0.00000000	1	3.00000000
20.28430	0.00770	19.96930	0.00560	19.92080	0.00560	19.72260	0.01680	19.66650	0.00510	0.00000000	1	1.00000000
23.10290	0.02870	22.05580	0.01490	21.61680	0.01220	20.62690	0.02660	20.28530	0.00690	0.00000000	1	3.00000000
23.50350	0.03540	22.35880	0.01740	21.81440	0.01340	20.73110	0.02930	20.34410	0.00720	0.00000000	1	3.00000000
21.45100	0.01320	21.23200	0.01010	21.28030	0.01040	21.13730	0.03740	21.09950	0.01100	0.00000000	1	3.00000000
23.18410	0.03000	22.06090	0.01500	21.54980	0.01180	20.17250	0.02190	19.73210	0.00530	0.00000000	1	3.00000000
23.00030	0.02740	21.87710	0.01380	21.35090	0.01080	19.92350	0.01860	19.49140	0.00480	0.00000000	1	3.00000000
21.65370	0.01450	21.37060	0.01080	21.37860	0.01100	21.21860	0.03910	21.11080	0.01110	0.00000000	1	3.00000000
22.34090	0.02010	22.07320	0.01510	22.07550	0.01510	21.96680	0.05820	21.93620	0.01820	0.00000000	1	3.00000000
23.97150	0.04410	22.88780	0.02240	22.34920	0.01720	21.15510	0.03800	20.74650	0.00890	0.00000000	1	3.00000000
23.67750	0.03810	22.68260	0.02040	22.20000	0.01600	21.39750	0.04730	21.05240	0.01050	0.00000000	1	3.00000000
20.66240	0.00920	20.42820	0.00700	20.41180	0.00720	20.22030	0.02210	20.14250	0.00660	0.00000000	1	3.00000000
22.92420	0.02640	21.87610	0.01370	21.43090	0.01120	20.60910	0.02840	20.28160	0.00690	0.00000000	1	3.00000000
22.59510	0.02250	21.71130	0.01260	21.31960	0.01060	20.70410	0.02880	20.46530	0.00760	0.00000000	1	3.00000000
23.28880	0.03150	22.17030	0.01580	21.67350	0.01260	20.21680	0.02190	19.84010	0.00560	0.00000000	1	3.00000000
22.04180	0.01740	21.68130	0.01250	21.64070	0.01230	21.48670	0.04730	21.38220	0.01250	0.00000000	1	3.00000000
25.12690	0.08540	24.09680	0.04380	23.43080	0.03030	21.83560	0.05910	21.30020	0.01250	0.00000000	1	3.00000000
23.00880	0.02740	21.95510	0.01420	21.47450	0.01140	20.40750	0.02440	20.09220	0.00630	0.00000000	1	3.00000000
23.42870	0.03370	22.30840	0.01680	21.77240	0.01310	20.31880	0.02400	19.95620	0.00590	0.00000000	1	3.00000000
23.14690	0.02950	22.22970	0.01630	21.80090	0.01340	20.29380	0.02280	19.84320	0.00560	0.00000000	1	3.00000000
21.67510	0.01460	21.52470	0.01160	21.56450	0.01190	21.47830	0.04700	21.36220	0.01240	0.00000000	1	1.00000000
21.92380	0.01650	21.50920	0.01150	21.39720	0.01100	21.15370	0.03770	21.03580	0.01100	0.00000000	1	3.00000000
20.84790	0.01000	20.63040	0.00770	20.63690	0.00800	20.40730	0.02430	20.34880	0.00720	0.00000000	1	3.00000000
23.78260	0.04050	22.63160	0.01980	22.03240	0.01480	20.67720	0.02850	20.25430	0.00690	0.00000000	1	3.00000000
24.16050	0.04850	23.01950	0.02410	22.52010	0.01890	20.95640	0.03330	20.45590	0.00750	0.00000000	1	3.00000000
24.05390	0.04580	23.24190	0.02720	22.68600	0.02020	22.12940	0.06860	21.84590	0.01650	0.00000000	1	3.00000000
24.52360	0.05890	23.28720	0.02760	22.59430	0.01940	20.55790	0.02670	19.99430	0.00600	0.00000000	1	3.00000000
25.51970	0.10360	24.35320	0.04980	23.72280	0.03380	21.91360	0.06960	21.25980	0.01180	0.00000000	1	3.00000000
22.12360	0.01810	21.60980	0.01200	21.48320	0.01150	21.15560	0.03820	20.97790	0.01000	0.00000000	1	3.00000000
22.95680	0.02690	21.71380	0.01270	21.39710	0.01100	20.31440	0.02310	19.83140	0.00560	0.00000000	1	1.00000000
24.34460	0.05490	23.13250	0.02600	22.50430	0.01880	20.82180	0.03120	20.29510	0.00700	0.00000000	2	3.00000000
22.54790	0.02220	21.84420	0.01350	21.53710	0.01170	21.12080	0.03760	20.88310	0.00950	0.00000000	1	3.00000000
21.89280	0.01620	20.78590	0.00820	20.31090	0.00670	19.32100	0.01370	19.02640	0.00370	0.00000000	1	3.00000000
25.78170	0.13400	24.58150	0.05990	23.88530	0.03960	21.81440	0.06340	21.19670	0.01160	0.00000000	1	3.00000000
23.40890	0.03330	22.58850	0.01930	22.21830	0.01620	21.25240	0.04050	20.89240	0.00950	0.00000000	1	3.00000000
22.26690	0.01940	21.96520	0.01450	21.90770	0.01400	21.77590	0.05870	21.63690	0.01520	0.00000000	1	3.00000000
22.71250	0.02390	21.62890	0.01220	21.16940	0.00990	20.02440	0.02030	19.68820	0.00520	0.00000000	1	3.00000000
22.89230	0.02620	21.85790	0.01360	21.32420	0.01060	20.04320	0.01910	19.64730	0.00510	0.00000000	1	3.00000000
24.63820	0.06250	23.73130	0.03480	23.22500	0.02670	21.25540	0.04060	20.63400	0.00840	0.00000000	1	3.00000000
25.33590	0.09220	24.24010	0.04670	23.62110	0.03250	21.86750	0.06190	21.33240	0.01220	0.00000000	1	3.00000000
23.51710	0.03550	22.22200	0.01620	21.65410	0.01240	20.02730	0.01980	19.61050	0.00500	0.00000000	1	3.00000000
24.60690	0.06180	23.33680	0.02820	22.82360	0.02170	21.52770	0.04790	21.06070	0.01050	0.00000000	1	3.00000000
20.91000	0.01030	20.69920	0.00790	20.73880	0.00820	20.40080	0.02310	20.34530	0.00710	0.00000000	1	3.00000000
24.43540	0.05630	23.05270	0.02440	22.47860	0.01820	20.76620	0.02750	20.18540	0.00650	0.00000000	0	3.00000000
23.39880	0.03340	22.16790	0.01570	21.59940	0.01210	19.87490	0.01750	19.38620	0.00450	0.00000000	1	3.00000000
22.76270	0.02440	21.57750	0.01190	21.05060	0.00930	19.73590	0.01690	19.32560	0.00440	0.00000000	1	3.00000000
23.38780	0.03300	22.24860	0.01640	21.74760	0.01290	20.89780	0.02980	20.54050	0.00790	0.00000000	1	3.00000000
21.57930	0.01400	20.78820	0.00820	20.50550	0.00740	20.00780	0.01960	19.83070	0.00550	0.00000000	1	3.00000000
23.74020	0.03930	22.90570	0.02260	22.60880	0.01970	22.19340	0.07860	21.95600	0.01790	0.00000000	1	3.00000000
22.38120	0.02040	21.27360	0.01030	20.84160	0.00860	19.94660	0.01900	19.63170	0.00500	0.00000000	1	3.00000000
23.66930	0.03790	22.47770	0.01830	21.95450	0.01420	20.84320	0.03010	20.34760	0.00710	0.00000000	1	3.00000000
24.31720	0.05250	23.53340	0.03120	23.00430	0.02360	21.22990	0.03790	20.67000	0.00850	0.00000000	1	3.00000000
22.13590	0.01820	21.86380	0.01360	21.92300	0.01420	21.62230	0.04840	21.61000	0.01440	0.00000000	1	3.00000000
24.25380	0.05200	22.92950	0.02290	22.44890	0.01830	20.77850	0.03040	20.27620	0.00690	0.00000000	1	3.00000000
23.89500	0.04210	22.88740	0.02230	22.39980	0.01760	21.56840	0.04370	21.24650	0.01140	0.00000000	1	3.00000000
23.03860	0.02800	22.00960	0.01460	21.57040	0.01190	20.90170	0.03260	20.63030	0.00830	0.00000000	1	3.00000000
24.00370	0.04520	23.32010	0.02810	22.74160	0.02110	22.45130	0.09600	22.29550	0.02350	0.00000000	1	3.00000000
22.94610	0.02660	21.87760	0.01370	21.38870	0.01090	20.30460	0.02310	19.94930	0.00580	0.00000000	1	3.00000000
22.08370	0.01780	20.90710	0.00870	20.42990	0.00710	19.29570	0.01330	18.92350	0.00360	0.00000000	1	3.00000000
24.75190	0.06660	23.79390	0.03720	23.14230	0.02540	21.85350	0.06170	21.44110	0.01300	0.00000000	1	3.00000000
23.86540	0.04230	22.65320	0.02000	22.11660	0.01540	21.24860	0.04140	20.91160	0.00960	0.00000000	1	3.00000000
21.32080	0.01240	21.06630	0.00930	21.07390	0.00950	20.89150	0.02980	20.80190	0.00920	0.00000000	1	1.00000000
24.05910	0.04610	22.87510	0.02210	22.35290	0.01720	21.37000	0.04350	21.02190	0.01030	0.00000000	1	3.00000000
23.18530	0.03000	22.13560	0.01560	21.63810	0.01240	20.46590	0.02560	20.07350	0.00640	0.00000000	1	3.00000000
22.04600	0.01740	21.65340	0.01240	21.56370	0.01200	21.31650	0.04240	21.14730	0.01100	0.00000000	1	3.00000000
23.13750	0.02940	21.90620	0.01390	21.37760	0.01090	19.86780	0.01820	19.45690	0.00460	0.00000000	1	3.00000000
22.47170	0.02130	21.35730	0.01070	20.81910	0.00840	-999.98999	-999.98999	18.61240	0.00310	0.00000000	1	3.00000000
22.57330	0.02240	22.32890	0.01710	22.29970	0.01690	22.24730	0.08930	22.17470	0.02160	0.00000000	1	3.00000000
21.14990	0.01150	20.93590	0.00880	20.95250	0.00900	20.76380	0.03020	20.66230	0.00840	0.00000000	1	1.00000000
24.15850	0.04920	23.06990	0.02490	22.56040	0.01950	21.73650	0.05630	21.36230	0.01290	0.00000000	1	3.00000000
23.61690	0.03710	22.66990	0.02020	22.05650	0.01500	21.02530	0.03520	20.68000	0.00850	0.00000000	1	3.00000000
24.88580	0.07160	23.71600	0.03420	23.15880	0.02550	21.93810	0.06450	21.55510	0.01400	0.00000000	1	1.00000000
24.75770	0.06780	23.54180	0.03130	23.04000	0.02450	21.75190	0.05700	21.33160	0.01260	0.00000000	1	3.00000000
22.99470	0.02730	22.02110	0.01470	21.54250	0.01170	20.73960	0.02940	20.43660	0.00750	0.00000000	1	3.00000000
23.92370	0.04290	22.84970	0.02210	22.18340	0.01590	20.60130	0.02740	20.07440	0.00620	0.00000000	1	3.00000000
25.51960	0.10010	24.39850	0.04850	23.76410	0.03480	21.01860	0.03510	20.24880	0.00670	0.00000000	1	3.00000000
24.60810	0.06100	23.41910	0.02930	22.92380	0.02290	21.28290	0.04150	20.73500	0.00870	0.00000000	1	3.00000000
21.37950	0.01270	21.19520	0.00990	21.22220	0.01010	21.09280	0.03690	20.99740	0.00990	0.00000000	1	3.00000000
23.94740	0.04330	22.89850	0.02230	22.31480	0.01680	21.03950	0.04020	20.54020	0.00780	0.00000000	0	1.00000000
21.10270	0.01120	20.65240	0.00770	20.58020	0.00760	20.34200	0.02340	20.18310	0.00650	0.00000000	1	3.00000000
23.87860	0.04170	23.08660	0.02450	22.62560	0.01950	21.04550	0.03580	20.49310	0.00760	0.00000000	1	3.00000000
22.54790	0.02200	21.48840	0.01130	20.97850	0.00900	19.92340	0.01870	19.59060	0.00490	0.00000000	1	3.00000000
23.22870	0.03050	22.47000	0.01810	22.15620	0.01570	21.59890	0.05140	21.41830	0.01280	0.00000000	1	3.00000000
25.56250	0.10120	24.53380	0.05360	23.88540	0.03660	21.68870	0.05130	21.04300	0.01020	0.00000000	1	3.00000000
23.58650	0.03610	22.46720	0.01810	21.90910	0.01390	20.35030	0.02370	19.86240	0.00560	0.00000000	1	3.00000000
24.40470	0.05550	23.02730	0.02390	22.43350	0.01790	20.85510	0.02870	20.38080	0.00730	0.00000000	1	3.00000000
23.00810	0.02740	21.93470	0.01400	21.45090	0.01130	20.29760	0.02290	19.92110	0.00570	0.00000000	1	3.00000000
22.95750	0.02680	22.40360	0.01760	22.26010	0.01640	21.99500	0.06820	21.78520	0.01580	0.00000000	1	3.00000000
25.28630	0.08730	24.41230	0.04890	23.79290	0.03470	21.93990	0.06940	21.35310	0.01210	0.00000000	1	3.00000000
20.96750	0.01050	20.53890	0.00730	20.45800	0.00720	20.12700	0.02090	19.99820	0.00590	0.00000000	1	3.00000000
25.50050	0.09690	24.55840	0.05270	23.82670	0.03520	21.24140	0.03580	20.44160	0.00740	0.00000000	1	3.00000000
24.02300	0.04480	23.12850	0.02490	22.72400	0.02040	22.16880	0.08230	21.89200	0.01630	0.00000000	1	3.00000000
24.27020	0.05160	23.11140	0.02480	22.60320	0.02000	21.32580	0.04200	20.93680	0.00990	0.00000000	1	3.00000000
22.49160	0.02140	21.53200	0.01160	21.09920	0.00960	20.36730	0.02250	20.03340	0.00600	0.00000000	1	3.00000000
24.57550	0.05900	23.52780	0.03060	23.11980	0.02500	22.04150	0.06950	21.67770	0.01460	0.00000000	1	3.00000000
24.18640	0.04890	23.22110	0.02600	22.80770	0.02150	22.12040	0.07380	21.86550	0.01630	0.00000000	1	3.00000000
24.11740	0.04700	23.05650	0.02400	22.53240	0.01870	21.42170	0.04540	21.03260	0.01000	0.00000000	1	3.00000000
21.02650	0.01080	20.57660	0.00740	20.49410	0.00730	20.17520	0.02130	19.99260	0.00590	0.00000000	1	3.00000000
22.91970	0.02630	21.96420	0.01430	21.52100	0.01160	20.97670	0.03450	20.57860	0.00790	0.00000000	1	3.00000000
19.18500	0.00460	19.11720	0.00380	19.25650	0.00410	19.32060	0.01370	19.29140	0.00430	0.00000000	1	3.00000000
22.84440	0.02530	21.83270	0.01330	21.40170	0.01100	20.82530	0.03170	20.51560	0.00760	0.00000000	1	3.00000000
25.15620	0.08040	24.01380	0.03960	23.40360	0.02840	21.98750	0.05750	21.47310	0.01270	0.00000000	1	3.00000000
23.57180	0.03580	22.25750	0.01630	21.63620	0.01230	20.04910	0.02010	19.46450	0.00460	0.00000000	1	3.00000000
22.05270	0.01740	21.34510	0.01060	21.05310	0.00950	20.55190	0.02670	20.34940	0.00710	0.00000000	1	3.00000000
22.74250	0.02410	22.74730	0.02060	22.94450	0.02270	23.17400	0.17110	23.13430	0.03710	0.00000000	1	3.00000000
23.63780	0.03690	22.60430	0.01920	22.08060	0.01500	21.23090	0.04020	20.79880	0.00880	0.00000000	1	3.00000000
25.21620	0.08280	24.06470	0.04010	23.41720	0.02860	21.82510	0.06090	21.31050	0.01160	0.00000000	1	3.00000000
24.11530	0.04700	22.81360	0.02150	22.14510	0.01560	20.18630	0.02110	19.66830	0.00510	0.00000000	1	3.00000000
22.37580	0.02030	21.54940	0.01170	21.16670	0.00990	20.69320	0.02870	20.37430	0.00720	0.00000000	1	3.00000000
22.27270	0.01930	21.21390	0.01000	20.74420	0.00820	19.47760	0.01480	19.10800	0.00390	0.00000000	1	3.00000000
22.14880	0.01820	21.19210	0.00990	20.80610	0.00840	19.99370	0.01950	19.67490	0.00510	0.00000000	1	3.00000000
24.27020	0.05050	22.90160	0.02230	22.31510	0.01680	20.94600	0.03370	20.47570	0.00750	0.00000000	1	3.00000000
23.20110	0.02990	22.07060	0.01490	21.52300	0.01160	20.19200	0.02170	19.70740	0.00510	0.00000000	1	3.00000000
22.65630	0.02310	22.07500	0.01490	21.92490	0.01400	21.62430	0.04850	21.43830	0.01260	0.00000000	1	3.00000000
24.25520	0.05010	23.28560	0.02690	22.83560	0.02160	22.13360	0.07310	21.77890	0.01520	0.00000000	1	3.00000000
23.60420	0.03670	22.79420	0.02130	22.44370	0.01800	22.07530	0.07170	21.78950	0.01570	0.00000000	1	3.00000000
22.90960	0.02600	22.14670	0.01550	21.76860	0.01300	21.20130	0.03980	20.97330	0.00980	0.00000000	1	3.00000000
23.81540	0.04030	22.69470	0.02010	22.14260	0.01550	20.91850	0.03180	20.29490	0.00680	0.00000000	1	3.00000000
22.23240	0.01900	22.03760	0.01470	22.06620	0.01490	22.03370	0.05820	21.88980	0.01630	0.00000000	1	3.00000000
24.62680	0.06050	23.60720	0.03160	23.05120	0.02400	20.99130	0.03190	20.30460	0.00690	0.00000000	1	3.00000000
25.85300	0.12070	24.63620	0.05710	23.99250	0.03960	21.85930	0.06100	21.29230	0.01180	0.00000000	1	3.00000000
22.19770	0.01860	21.09830	0.00950	20.64690	0.00780	19.38180	0.01410	18.96520	0.00360	0.00000000	1	3.00000000
24.27260	0.05060	23.06470	0.02410	22.57050	0.01900	21.32550	0.04310	20.92940	0.00950	0.00000000	1	3.00000000
20.80030	0.00970	20.19750	0.00620	19.93300	0.00560	19.53860	0.01530	19.35690	0.00440	0.00000000	1	3.00000000
22.91840	0.02620	21.85960	0.01350	21.37400	0.01080	20.37310	0.02400	20.01610	0.00590	0.00000000	1	3.00000000
25.11220	0.07910	24.04080	0.03980	23.43590	0.02920	21.82790	0.06030	21.37750	0.01210	0.00000000	1	3.00000000
23.13500	0.02910	22.08660	0.01500	21.51260	0.01160	19.97120	0.01920	19.52910	0.00480	0.00000000	1	3.00000000
21.48930	0.01340	20.73420	0.00800	20.44360	0.00710	20.03100	0.01990	19.76030	0.00530	0.00000000	1	3.00000000
