round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_ZCOS	Z_USE
22.72279930	0.02380000	22.39279938	0.01740000	22.26309967	0.01640000	21.86160088	1.00000000	0.01510000	0.03910000	22.00609970	0.01640000	-999.98999023	4.00000000
23.13190079	0.02890000	22.93129921	0.02360000	22.68129921	0.01980000	22.12350082	1.00000000	0.01760000	0.04350000	22.28680038	0.01840000	-999.98999023	4.00000000
22.69499969	0.02390000	22.21850014	0.01650000	21.98830032	0.01480000	21.66360092	1.00000000	0.01500000	0.05870000	21.52449989	0.01450000	-999.98999023	4.00000000
21.69070053	0.01470000	20.87999916	0.00860000	20.53750038	0.00740000	19.90979958	2.00000000	-999.98999023	0.01210000	19.79870033	0.00540000	-999.98999023	4.00000000
22.05979919	0.01760000	22.50200081	0.01880000	22.27860069	0.01680000	20.84020042	1.00000000	0.01560000	0.04460000	21.87199974	0.01850000	0.22840001	3.00000000
22.52260017	0.02170000	22.43289948	0.01780000	22.47330093	0.01820000	21.85339928	1.00000000	0.01730000	0.08130000	22.31789970	0.02180000	-999.98999023	4.00000000
24.25419998	0.05120000	23.37120056	0.02900000	22.87960052	0.02230000	22.12770081	1.00000000	0.01780000	0.08500000	22.05249977	0.01910000	0.44839999	3.00000000
23.30520058	0.03110000	23.03359985	0.02350000	22.72839928	0.02030000	22.22220039	1.00000000	0.01720000	0.03950000	22.10440063	0.01700000	-999.98999023	4.00000000
22.65320015	0.02320000	21.63899994	0.01230000	21.08499908	0.00950000	19.64539909	2.00000000	-999.98999023	0.00890000	19.12649918	0.00390000	-999.98999023	4.00000000
23.95420074	0.04340000	23.06310081	0.02450000	22.73600006	0.02060000	20.62949944	1.00000000	0.01740000	0.06680000	21.99510002	0.01730000	-999.98999023	4.00000000
25.23740005	0.08410000	24.05990028	0.04050000	23.31669998	0.02730000	22.63949966	1.00000000	0.01920000	0.09330000	21.87109947	0.01620000	-999.98999023	4.00000000
23.18860054	0.02960000	22.22890091	0.01600000	21.95649910	0.01410000	21.25009918	1.00000000	0.01170000	0.02720000	21.15769958	0.01040000	-999.98999023	4.00000000
24.04269981	0.04570000	23.64100075	0.03320000	23.36129951	0.02830000	22.56060028	1.00000000	0.02090000	0.11630000	22.07629967	0.01950000	-999.98999023	4.00000000
23.85950089	0.04130000	23.27420044	0.02700000	22.94370079	0.02280000	22.29420090	1.00000000	0.01730000	0.08220000	22.00349998	0.01760000	0.98400003	4.00000000
23.56830025	0.03820000	22.80279922	0.02230000	22.46839905	0.02010000	21.99939919	2.00000000	-999.98999023	0.05780000	21.60470009	0.01670000	-999.98999023	4.00000000
24.23979950	0.05030000	23.13689995	0.02550000	22.74349976	0.02080000	21.97410011	1.00000000	0.01700000	0.08240000	21.92630005	0.01760000	-999.98999023	4.00000000
20.89290047	0.01020000	20.57150078	0.00740000	20.50530052	0.00730000	20.21109962	2.00000000	-999.98999023	0.01310000	20.14570045	0.00640000	-999.98999023	4.00000000
23.70229912	0.03930000	-999.98999023	-999.98999023	-999.98999023	-999.98999023	22.30940056	2.00000000	-999.98999023	0.04640000	-999.98999023	-999.98999023	-999.98999023	4.00000000
