,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,1,-23.75,-23.894900359711265,2.1522238155280518e-06,1.696504639556431e-06,1495571.9978284836,1.6094028357816652,-5.667112567208957,0.3423354941836531
1,1,-23.25,-23.014907830744022,2.090124974615492e-06,1.6718505892156866e-06,1495571.9978284836,1.5629661919984499,-5.679827745389807,0.3473837661772568
2,4,-22.75,-22.764664725111373,8.459222583766415e-06,3.363384833892659e-06,1495571.9978284836,1.5814220524599205,-5.072669547492202,0.17267537996692595
3,31,-22.25,-22.21920233534759,6.880722839017544e-05,9.592424011407545e-06,1495571.9978284836,1.6597768391699264,-4.16236593552805,0.0605450461193897
4,137,-21.75,-21.681664097088436,0.0003292067001958982,2.098194131963151e-05,1495571.9978284836,1.7969062858047522,-3.4825313343695656,0.027679695854645105
5,326,-21.25,-21.22699873055453,0.0009228602387604846,3.601598909594959e-05,1440704.2744184646,2.0263101619106525,-3.0348640650965137,0.01694898606279443
6,275,-20.75,-20.788583817917747,0.0016352619959129667,7.151096946903212e-05,831630.9258297584,2.1949807505263452,-2.786412656298001,0.018991953285512234
7,12,-20.25,-20.43528132163705,0.0003848833261590599,9.71472831231374e-05,225304.69120118665,2.2048368079319802,-3.4146709029193465,0.10961900951467947
8,0,-19.75,,0.0,0.0,,,-inf,
9,0,-19.25,,0.0,0.0,,,-inf,
10,0,-18.75,,0.0,0.0,,,-inf,
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
