,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,0,-23.25,,0.0,0.0,,,-inf,
2,0,-22.75,,0.0,0.0,,,-inf,
3,0,-22.25,,0.0,0.0,,,-inf,
4,0,-21.75,,0.0,0.0,,,-inf,
5,2,-21.25,-21.14984103695071,0.0005536361176900155,0.00014059374064003785,55792.645814111296,7.753434798534798,-3.2567755854555336,0.11028739599733407
6,1,-20.75,-20.578512871739076,8.191689853064188e-05,5.4228562227488906e-05,55711.81619421393,2.281869597069597,-4.086626498952794,0.2875006959417047
7,7,-20.25,-20.200415318052276,0.00038388080373676385,0.00011686788787511038,56212.372660922694,1.5413638802380916,-3.415803604578709,0.1322157250943247
8,5,-19.75,-19.737758471551167,0.00028257258695995853,0.00010016500569073497,56326.35738719377,1.5916925556707369,-3.548869972386561,0.15394667161205647
9,4,-19.25,-19.27252588744839,0.00022561577684595147,8.937774929307742e-05,56486.38835628966,1.5930160405701124,-3.646630534309409,0.17204587314573838
10,8,-18.75,-18.78088647477375,0.00045015401385919203,0.0001261918769514575,56536.33161126654,1.5906312072331166,-3.3466388730566727,0.12174596723283898
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
