,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,1,-23.25,-23.14016305832645,4.636536426181581e-05,1.6728679634121144e-05,331360.1997577551,7.6818181818181825,-4.333806323904843,0.15669397556333564
2,1,-22.75,-22.876649651924282,9.326369493038432e-06,7.502761390374167e-06,331360.1997577551,1.545193829113924,-5.030287382618508,0.34937580730727785
3,0,-22.25,,0.0,0.0,,,-inf,
4,4,-21.75,-21.666739918851654,4.0879033910120805e-05,1.5707791861755106e-05,331360.1997577551,1.6932106052952092,-4.388499376387564,0.16687789988980414
5,25,-21.25,-21.202415254418234,0.00026160143721555367,3.973606788810008e-05,331360.1997577551,1.7336860898532342,-3.582359874365088,0.0659673555314429
6,58,-20.75,-20.70287214978288,0.000562225410436048,5.8253236746122096e-05,331360.19975775504,1.6060269337152993,-3.2500895298371324,0.04499807159591603
7,87,-20.25,-20.20997964961408,0.0008362562318147516,7.104516213847522e-05,331360.1997577551,1.5925404139241586,-3.0776606328322824,0.03689601429421281
8,108,-19.75,-19.767495394395027,0.0010555496149800146,7.981860843562332e-05,331360.19975775515,1.6192922744166622,-2.976521348329207,0.03284050385205615
9,136,-19.25,-19.25133407363696,0.0013908249643284389,9.162227365758498e-05,331360.19975775515,1.6943530809115592,-2.856727522638777,0.028609673315816538
10,123,-18.75,-18.758415667756047,0.0013674239529334676,9.104629668510141e-05,330499.342015751,1.835245955759006,-2.8640968169065677,0.028916346070463884
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
