,Number_Of_Gals,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Number_Density,Number_Density_Error,Average_Comoving_Volume,Average_Weight,Log10Phi,Log10Err
0,0,-23.75,,0.0,0.0,,,-inf,
1,0,-23.25,,0.0,0.0,,,-inf,
2,1,-22.75,-22.70872737115119,4.247005722089851e-06,3.416578185131807e-06,727662.7017839621,1.545193829113924,-5.371917153873843,0.34937580730727785
3,4,-22.25,-22.212796419881517,1.7863067560021815e-05,7.006932937167872e-06,727662.7017839621,1.6247860003593655,-4.74804395922156,0.17035552821222352
4,26,-21.75,-21.736310349097153,0.00011485358433256703,1.7767331977670144e-05,727662.7017839621,1.6072051824039972,-3.9398554468636875,0.06718339946363668
5,56,-21.25,-21.23273477333177,0.000242743549578037,2.582996333119228e-05,727662.701783962,1.5771020279159242,-3.6148523017696372,0.04621259993108015
6,116,-20.75,-20.74711212917316,0.0005164832883929804,3.767715288570821e-05,727662.7017839621,1.6199380390444025,-3.2869437261794605,0.03168152766956137
7,179,-20.25,-20.24865610378858,0.0008453101926154628,4.8201215864488775e-05,727662.7017839622,1.7181583759890757,-3.072983894339191,0.024764308124813717
8,216,-19.75,-19.717899544003515,0.0011356784174332622,5.591442518489686e-05,726741.417900028,1.9100823021179165,-2.9447446275210054,0.021382220480578886
9,146,-19.25,-19.28694782766839,0.0011565868015853994,6.907216735584376e-05,555083.985979657,2.0528014230596483,-2.9368217679647572,0.02593636819529789
10,44,-18.75,-18.822830902119605,0.0009879661569846946,0.00011210475644370623,227662.19053323564,2.204836807931981,-3.005257932018176,0.04927949887190707
11,0,-18.25,,0.0,0.0,,,-inf,
12,0,-17.75,,0.0,0.0,,,-inf,
13,0,-17.25,,0.0,0.0,,,-inf,
14,0,-16.75,,0.0,0.0,,,-inf,
15,0,-16.25,,0.0,0.0,,,-inf,
16,0,-15.75,,0.0,0.0,,,-inf,
17,0,-15.25,,0.0,0.0,,,-inf,
