,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.5,-23.03486369374185,1134484.0100443107,1.6722736682709363,1.4740389934677181e-06,1.1398699288187595e-06,1,-5.831491027722647,0.3358386191730559
1,-22.5,-22.234813918750543,1134484.0100443105,1.5920189699485385,2.104946772083228e-05,4.307461154461087e-06,15,-4.676758881720384,0.08887191995566024
2,-21.5,-21.346824089912054,1134484.0100443102,1.6671574525810189,0.0003835471379686089,1.8386970683974612e-05,261,-3.416181253614314,0.02081976142296384
3,-20.5,-20.448237459135413,1134484.0100443105,2.188971618078037,0.0014413264393567148,3.5643634947797794e-05,747,-2.841237646697754,0.010739991684126296
4,-19.5,-19.606407520250578,1100546.4728410009,8.056019844179799,0.003367936080450546,5.7403667667495915e-05,437,-2.4726361595034563,0.007402188020642767
5,-18.5,-18.887836811422016,456101.1365323379,22.293817978745185,0.0002961152728253256,2.5727042065691902e-05,6,-3.528539192297613,0.03773230707831034
6,-17.5,,,,0.0,0.0,0,-inf,
7,-16.5,,,,0.0,0.0,0,-inf,
8,-15.5,,,,0.0,0.0,0,-inf,
