,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,-23.93638495818081,1495571.9978284799,1.232362692041058,1.6480151993089027e-06,1.4845401291994978e-06,1,-5.7830387872107805,0.3912145874295636
1,-23.25,-23.24418235069607,1495571.9978284799,1.240231120134819,3.3170749972200416e-06,2.1061484591628215e-06,2,-5.479244709212922,0.2757515747006105
2,-22.75,-22.729742052347493,1495571.9978284799,1.247819825994731,1.5018171576171139e-05,4.481463525966751e-06,9,-4.823382938351541,0.12959466272619652
3,-22.25,-22.208434811612886,1495571.9978284799,1.301439692334026,0.00016707749362180165,1.4947560197842078e-05,96,-3.7770820483362053,0.0388540836417743
4,-21.75,-21.702774092835394,1495571.99782848,1.3664504755531686,0.0004952059538592372,2.5733820307346775e-05,271,-3.3052141424356996,0.022568501187583363
5,-21.25,-21.235924160593825,1428477.9123629879,1.5162665863430038,0.0011440580556405454,4.054561295395843e-05,533,-2.941551936552965,0.015391470637764281
6,-20.75,-20.794259117324547,810176.7976666653,1.6085566082422644,0.0018044196241310852,8.124591684492641e-05,394,-2.743662458339181,0.019554571947150736
7,-20.25,-20.403393491831164,180475.672706208,1.6146217995674312,0.0004791705115719499,0.00022563970451141324,9,-3.3195099165278408,0.20450774035762576
8,-19.75,,,,0.0,0.0,0,-inf,
9,-19.25,,,,0.0,0.0,0,-inf,
10,-18.75,,,,0.0,0.0,0,-inf,
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
