,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,,,,0.0,0.0,0,-inf,
1,-23.25,-23.14016305832645,252410.21442417588,7.6818181818181825,6.0867728347228224e-05,2.1961150177268504e-05,1,-4.215612906307994,0.15669397556333564
2,-22.75,,,,0.0,0.0,0,-inf,
3,-22.25,,,,0.0,0.0,0,-inf,
4,-21.75,-21.711177434260048,262706.49844518886,1.7001895843033001,3.883092944481603e-05,1.7193665874227884e-05,3,-4.410822214194515,0.1922981066800678
5,-21.25,-21.18736764077125,262706.49844518874,1.858175027475912,0.0001839031428621232,3.741744815256332e-05,13,-3.73541084870638,0.08836277078604607
6,-20.75,-20.703678798237704,262706.4984451888,1.6424071748552347,0.00036260852588493753,5.254103160013562e-05,29,-3.4405619887092063,0.06292814004236609
7,-20.25,-20.204599876864105,262706.4984451888,1.60127827797027,0.0005607687759730132,6.533885231935479e-05,46,-3.251216176211411,0.050602501836787134
8,-19.75,-19.755906753834203,262706.49844518886,1.6014087727177622,0.0006339641894979449,6.947234416620693e-05,52,-3.1979352732581363,0.04759173501607545
9,-19.25,-19.247067172186718,262706.498445189,1.6442644357116205,0.0008512159561345471,8.050066497475483e-05,68,-3.069960244076004,0.04107182711522422
10,-18.75,-18.75737937604262,262706.49844518886,1.7009675669919573,0.0009453183162602266,8.48337424327075e-05,73,-3.024421927239437,0.03897398959059685
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
