,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,-23.894900359711265,1815384.9169794833,1.6094028357816652,1.773070626211283e-06,1.3976346335014625e-06,1,-5.751273964927597,0.34233549418365306
1,-23.25,-23.014907830744022,1815384.9169794833,1.5629661919984499,1.7219116203730295e-06,1.3773238404691944e-06,1,-5.763989143108447,0.3473837661772568
2,-22.75,-22.758944968949603,1815384.9169794836,1.5830095396032995,1.046395962507288e-05,3.3953039918650994e-06,6,-4.980303944730998,0.14091814579615466
3,-22.25,-22.20137730705736,1815384.9169794833,1.6544916397950558,6.197332061855799e-05,8.262909951346328e-06,34,-4.207795233111577,0.05790453312031477
4,-21.75,-21.683556532788376,1815384.9169794843,1.7840696880832931,0.00029679052677027595,1.8082382584095044e-05,151,-3.5275499653776943,0.02646000551767759
5,-21.25,-21.222056481703383,1815384.916979484,2.0947034936995297,0.0008584732553058132,3.0753462620132274e-05,372,-3.06627323021073,0.015557921033408953
6,-20.75,-20.747685432366048,1815384.916979484,3.294032210259692,0.0017891058413771997,4.4396491762764075e-05,493,-2.7473639663267626,0.010776976376975864
7,-20.25,-20.276182928416837,1780498.0067773063,9.107684967149225,0.0030858716949537946,5.912585857910543e-05,300,-2.510622135088154,0.008321160649902525
8,-19.75,-19.823648873462954,1181306.3194508636,17.776331296069333,0.003291064839871924,8.117863170209776e-05,100,-2.4826635612421852,0.010712469523404908
9,-19.25,-19.36736561413802,733094.4971849084,22.293817978745192,0.0002646707300824699,3.735450691879633e-05,3,-3.5772940846394894,0.06129448550655804
10,-18.75,,,,0.0,0.0,0,-inf,
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
